1,-810,735
2,-438,534
3,-64,-288
4,-472,-621
5,239,-359
6,631,287
7,20,-335
8,-969,-501
9,495,-560
10,-67,667
11,-727,-671
12,-577,846
13,-867,627
14,833,-827
15,-582,42
16,-79,242
17,-818,476
18,-591,-614
19,644,89
20,-603,109
21,287,376
22,509,-280
23,6,638
24,-245,-55
25,-823,-463
26,-756,418
27,703,907
28,705,-461
29,-387,-231
30,-385,-711
31,-815,448
32,550,558
33,-990,-561
34,-695,-122
35,993,493
36,-124,-631
37,895,782
38,353,-786
39,-433,-634
40,-343,-86
41,-224,-700
42,-435,-316
43,534,183
44,-808,-173
45,604,337
46,508,-877
47,509,916
48,244,99
49,-160,-216
50,295,407
51,940,-642
52,-19,-566
53,-100,515
54,763,36
55,46,886
56,946,913
57,593,-919
58,-132,-924
59,-449,994
60,351,-314
61,183,-999
62,-628,-206
63,17,76
64,834,888
65,-550,-603
66,-631,425
67,-67,-5
68,-222,205
69,221,301
70,1,-92
71,410,922
72,729,388
73,-63,-562
74,-309,-701
75,332,-607
76,-831,-216
77,486,-265
78,-517,-734
79,-514,-359
80,176,-69
81,435,-387
82,517,-601
83,958,-717
84,63,-56
85,570,37
86,354,-223
87,-79,264
88,-245,-239
89,-559,-562
90,3,-289
91,415,90
92,-503,-663
93,-933,-398
94,-83,852
95,484,-794
96,656,580
97,-933,84
98,-995,-779
99,-503,809
100,-492,-886
101,-399,199
102,323,346
103,-242,534
104,-599,523
105,227,456
106,258,372
107,76,35
108,740,860
109,466,828
110,-718,-268
111,364,859
112,910,-202
113,-572,-510
114,-532,-604
115,189,-691
116,515,-339
117,386,-433
118,-862,498
119,642,-116
120,911,-619
121,-801,-326
122,27,-317
123,445,213
124,573,411
125,899,-875
126,376,-404
127,167,-197
128,618,915
129,699,-522
130,991,-840
131,291,186
132,180,-925
133,-399,-814
134,428,-745
135,-364,-306
136,-653,-764
137,26,354
138,-422,301
139,-856,-570
140,-312,-457
141,381,-277
142,-899,428
143,978,558
144,-639,754
145,216,-871
146,-369,-66
147,558,-998
148,-678,-422
149,221,-642
150,382,633
151,251,-263
152,-285,-18
153,539,681
154,-416,547
155,-577,642
156,-647,145
157,941,-869
158,-764,900
159,-24,134
160,532,-392
161,377,-635
162,856,583
163,-950,-220
164,-590,-886
165,-988,-162
166,-856,-876
167,833,387
168,679,-220
169,-454,-233
170,681,51
171,-752,657
172,575,-133
173,-417,398
174,988,-185
175,-363,826
176,-684,-609
177,-313,683
178,826,-609
179,255,206
180,-289,492
181,877,804
182,854,-2
183,-712,-479
184,473,-916
185,-796,556
186,821,-988
187,758,-378
188,277,-699
189,-112,-888
190,818,881
191,-340,-565
192,-940,588
193,263,-146
194,576,329
195,398,-622
196,-392,-360
197,221,282
198,153,39
199,-532,330
200,54,407
